soc_code_2019,title,task_comp_nat,task_comp_ut,freq_sum_eco,importance,relevance,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category,a_med_nat,h_med_nat,a_med_ut,h_med_ut,ai_task_comp_nat,ai_task_comp_ut,freq_sum_ai,code_changed,title_changed,code_or_title_changed,code_and_title_changed,pct_automated_nat,pct_automated_ut,people_automated_nat,people_automated_ut,eco_value_nat,eco_value_ut,ut_share_of_nat,ut_concentration_index
11-9199.08,Loss Prevention Managers,9764933.631653845,94247.75082692307,15.475821153846153,3.8,90.90777777777777,630980.0,6090.0,11,Management Occupations,136550.0,65.65,136550.0,65.65,710723.8105746153,41157.95752384615,13.175476923076921,False,False,False,False,7.278327097592808,43.669962585556846,45924.7883203911,443.25012024340197,6271029845.149405,60525803.91923654,0.05790991790548036,4.59189642767505
11-9199.09,Wind Energy Operations Managers,10660457.09303077,102891.03251538462,16.89507923076923,3.983125,96.07625,630980.0,6090.0,11,Management Occupations,136550.0,65.65,136550.0,65.65,755562.6407664102,43754.57049923077,10.762739230769231,False,False,False,False,7.087525742778479,42.52515445667088,44720.86993178365,431.6303177352094,6106634789.185058,58939119.886742845,0.057909917905480376,4.591896427675051
11-9199.10,Wind Energy Development Managers,3776027.004615384,36444.902307692304,5.984384615384615,3.720666666666667,92.466,630980.0,6090.0,11,Management Occupations,136550.0,65.65,136550.0,65.65,232071.51560564098,13439.242416923074,4.330817692307692,False,True,True,False,6.14591779460219,36.87550676761314,38779.5121003809,374.2863936912734,5295342377.307013,51108807.058543384,0.05790991790548036,4.59189642767505
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,3289709.8477384606,31751.137869230763,5.213651538461537,3.6208695652173915,87.46347826086956,630980.0,6090.0,11,Management Occupations,136550.0,65.65,136550.0,65.65,225461.32058871788,13056.446566153843,3.637158461538461,False,False,False,False,6.853532105383494,41.12119263230097,43244.41687854878,417.3801052178548,5905025124.765836,56993253.36749807,0.05790991790548037,4.591896427675051
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",376402.44835384615,3441.0913,26.469933076923077,3.7214285714285715,77.18785714285715,14220.0,130.0,13,Business and Financial Operations Occupations,96310.0,46.3,60470.0,29.07,186114.13618153846,1701.46538,19.483113461538462,False,False,False,False,49.44551689169073,49.44551689169073,7031.152501998422,64.27917195919795,677170297.467468,3886961.5283727003,0.009142053445850914,0.7249079963838877
13-1021.00,"Buyers and Purchasing Agents, Farm Products",4561914.542076923,50256.9513323077,28.107914615384615,3.6875,68.82583333333334,162300.0,1788.0,13,Business and Financial Operations Occupations,75650.0,36.37,75650.0,36.37,2931128.6989615387,32291.177533846156,25.99956,False,False,False,False,64.25216149768275,64.25216149768274,104281.2581107391,1148.8286475785676,7888877176.077413,86908887.18931864,0.011016635859519407,0.873550726334852
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3254423.4324230766,35852.79788769231,20.051900384615383,3.5869999999999997,69.869,162300.0,1788.0,13,Business and Financial Operations Occupations,75650.0,36.37,75650.0,36.37,1682326.9422461537,18533.583319384616,17.793492307692308,False,False,False,False,51.6935480947413,51.6935480947413,83898.62855776513,924.2806399339745,6346931250.394932,69921830.41100517,0.011016635859519409,0.8735507263348521
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4360544.437615384,48038.530218461536,26.867186923076922,3.858421052631579,96.05631578947369,162300.0,1788.0,13,Business and Financial Operations Occupations,75650.0,36.37,75650.0,36.37,3036462.060646154,33451.596823384614,25.570251538461537,False,False,False,False,69.63492985996675,69.63492985996673,113017.49116272602,1245.0725458962054,8549773206.460223,94189738.09704794,0.011016635859519407,0.873550726334852
13-1031.00,"Claims Adjusters, Examiners, and Investigators",20123297.739369232,137885.0313923077,65.97369923076923,4.271481481481481,80.82925925925926,305020.0,2090.0,13,Business and Financial Operations Occupations,76790.0,36.92,66240.0,31.84,9736682.884529231,66715.8456123077,65.95209230769231,False,False,False,False,48.3851255924141,48.38512559241411,147584.31008198147,1011.2491248814546,11332999171.195356,66985142.03214755,0.006852009704281688,0.5433217663136811
13-1032.00,"Insurance Appraisers, Auto Damage",182667.22162692307,1875.9149846153846,23.448937307692308,4.428571428571429,92.83857142857143,7790.0,80.0,13,Business and Financial Operations Occupations,76650.0,36.85,66080.0,31.77,59438.70071538461,610.4102769230769,14.311342692307692,False,False,False,False,32.53933584033011,32.53933584033011,2534.8142619617156,26.03146867226409,194293513.17936552,1720159.449863211,0.010269576379974327,0.814313554543607
13-1041.00,Compliance Officers,14583969.62616923,140424.37506153845,36.664327692307694,4.315,64.13333333333334,397770.0,3830.0,13,Business and Financial Operations Occupations,78420.0,37.7,64730.0,31.12,1664604.7159885715,112195.62168,48.77912937062937,False,False,False,False,11.413934331031744,79.8975403172222,45401.20658854497,437.1536848785158,3560362620.6736965,28296958.022186328,0.06740075923272242,5.344461134420545
13-1041.01,Environmental Compliance Inspectors,6045848.662257692,58213.541434615385,15.199358076923076,3.9584615384615387,70.0,397770.0,3830.0,13,Business and Financial Operations Occupations,78420.0,37.7,64730.0,31.12,411487.583641978,27734.57555230769,11.906415769230769,False,False,False,False,6.806117827771045,47.64282479439731,27072.694883524888,260.67431280363104,2123040732.7660217,16873448.267779037,0.06740075923272243,5.344461134420547
13-1041.03,Equal Opportunity Representatives and Officers,10563055.434403846,101708.2794423077,26.55568653846154,4.054444444444445,70.97222222222223,397770.0,3830.0,13,Business and Financial Operations Occupations,78420.0,37.7,64730.0,31.12,561583.2125878022,37851.13490076924,16.588825,False,False,False,False,5.316484572813346,37.215392009693424,21147.380685279648,203.62135913875113,1658377593.33963,13180410.57705136,0.06740075923272244,5.3444611344205475
